"Adresse","Type de contenu","Code HTTP","Statut","Indexabilité","Statut d'indexabilité","Title 1","Longueur du Title 1","Largeur en pixels du Title 1","Title 2","Longueur du Title 2","Largeur en pixels du Title 2","Meta Description 1","Longueur de la Meta Description 1","Largeur en pixels de la Meta Description 1","Meta Keywords 1","Longueur des Meta Keywords 1","H1-1","Longueur du H1-1","H1-2","Longueur du H1-2","H2-1","Longueur du H2-1","H2-2","Longueur du H2-2","Meta Robots 1","Meta Robots 2","Balise X-Robots 1","Meta Refresh 1","Élément de lien en version canonique 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Élément de lien amphtml","Taille (octets)","Transféré (octets)","Total transféré (en octets)","CO2 (mg)","Empreinte carbone","Nombre de mots","Nombre de phrases","Moyenne de mots par phrase","Score de lisibilité de Flesch","Lisibilité","Ratio texte","Crawl profondeur","Profondeur du dossier","Link Score","Liens entrants","Liens entrants uniques","Liens entrants JS uniques","% du total","Liens sortants","Liens sortants uniques","Liens sortants JS uniques","Liens sortants externes","Liens sortants externes uniques","Liens sortants JS externes uniques","Quasi-doublon le plus proche","Nombre de quasi-doublons","Erreurs d'orthographe","Erreurs de grammaire","Hachage","Temps de réponse","Last Modified","URL de redirection","Type de redirection","Cookies","Language","Version HTTP","Lien alternate mobile","Adresse sémantiquement similaire la plus proche","Score de similarité sémantique","Nbre sémantiquement similaires","Score de pertinence sémantique","Adresse codée en URL","Horodatage du crawl"
"https://vintagefrenchart.com/","text/html; charset=UTF-8","200","OK","Indexable","","Vintage French Art | Brocante en Ligne & Antiquaire Castres (Tarn 81)","69","618","","0","0","Brocanteur et antiquaire a Castres dans le Tarn. Achetez en ligne des objets vintage, plaques emaillees, luminaires et meubles anciens.","135","824","","0","","0","","0","Brocante en Ligne et à Castres :","32","Nos dernières trouvailles","25","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","","https://vintagefrenchart.com/","","","","","","284076","65006","65006","24,903","","581","104","5,587","59,194","Assez difficile","1,624","0","0","","720","123","0","100,000","58","31","0","7","6","0","","","","","9612e86112e456c12add16cc27d50318","0,115","Thu, 26 Feb 2026 13:43:22 GMT","","","","fr-FR","1.1","","","","","","https://vintagefrenchart.com/","2026-02-26 17:43:01"
"https://vintagefrenchart.com/produit/flavio-poli-bol-en-verre-de-murano-italien/","text/html; charset=UTF-8","200","OK","Indexable","","Bol verre de Murano Flavio Poli | Design italien vintage","56","483","","0","0","Bol en verre de Murano italien par Flavio Poli. Design Sommerso vintage de collection. Verrerie d'art signée.","109","653","","0","Flavio POLI : Bol en verre de Murano italien","44","","0","Flavio POLI Coupe Bol en verre de Murano italien – 1950/60","58","Flavio Poli 1900/1984","21","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","","https://vintagefrenchart.com/produit/flavio-poli-bol-en-verre-de-murano-italien/","","","","","","310408","67715","67715","25,940","","669","131","5,107","76,585","Assez facile","1,560","1","2","","29","12","0","9,760","65","32","0","7","6","0","","","","","99c00debbb007709d1a38bedc37ccced","0,303","Thu, 26 Feb 2026 13:49:08 GMT","","","","fr-FR","1.1","","","","","","https://vintagefrenchart.com/produit/flavio-poli-bol-en-verre-de-murano-italien/","2026-02-26 17:43:07"
"https://vintagefrenchart.com/categorie-produit/jouets-vintage/","text/html; charset=UTF-8","200","OK","Indexable","","Jouets Vintage et jeux de Collection  | Vintage French Art","58","503","","0","0","Jouet vintage et jeux de Collection Votre brocante en ligne Vintage French Art, située aux alentours de Castres en France, vous présente sa catégorie jouet vintage et de collection. Un jouet ancien, que ce soit un lot de poupée ou une figurine vintage fait appel aux souvenirs de notre enfance.…","295","1782","","0","","0","","0","Jouets Vintage et jeux de Collection","36","JOUSTRA Le chat joueur","22","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","","https://vintagefrenchart.com/categorie-produit/jouets-vintage/","","","","","","265403","63785","63785","24,435","","364","69","5,275","63,192","Normal","1,236","1","2","","144","123","0","100,000","59","31","0","7","6","0","","","","","2e9bae99cf5fafb012ea86ccb5796eed","0,105","Thu, 26 Feb 2026 13:59:28 GMT","","","","fr-FR","1.1","","","","","","https://vintagefrenchart.com/categorie-produit/jouets-vintage/","2026-02-26 17:43:08"
"https://vintagefrenchart.com/boutique/","text/html; charset=UTF-8","200","OK","Indexable","","Boutique  | Vintage French Art","30","261","","0","0","Explorez notre boutique d'art vintage français. Affiches, illustrations et œuvres originales soigneusement sélectionnées. Pièces uniques et authentiques pour décorer votre intérieur.","182","1105","","0","","0","","0","Brocante en ligne d’objets vintage rares et authentiques","56","Ancienne plaque émaillée ODO double face | Publicité Vintage","60","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","","https://vintagefrenchart.com/boutique/","https://vintagefrenchart.com/boutique/page/2/","","","","","384187","71803","71803","27,506","","864","157","5,503","75,231","Assez facile","1,598","1","1","","255","123","0","100,000","125","59","0","7","6","0","","","","","35e285a1fd8187ceab4174a1c545ad66","0,127","Thu, 26 Feb 2026 13:48:10 GMT","","","","fr-FR","1.1","","","","","","https://vintagefrenchart.com/boutique/","2026-02-26 17:43:08"
"https://vintagefrenchart.com/produit/plaque-emaillee-ancienne-odo/","text/html; charset=UTF-8","200","OK","Indexable","","Plaque émaillée ancienne ODO double face | Publicité vintage","60","549","","0","0","Ancienne plaque émaillée ODO double face. Publicité vintage d'horlogerie pour collectionneurs. Pièce authentique et rare.","121","740","","0","Ancienne plaque émaillée ODO double face | Publicité Vintage","60","","0","Ancienne plaque publicitaire émaillée ODO double face","53","Caractéristiques de la plaque vintage ODO :","43","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","","https://vintagefrenchart.com/produit/plaque-emaillee-ancienne-odo/","","","","","","303772","67292","67292","25,778","","648","119","5,445","71,144","Assez facile","1,648","1","2","","20","8","0","6,500","66","31","0","7","6","0","","","","","8ba2b7ed6bb30389a930befe74dc6840","0,313","Thu, 26 Feb 2026 13:50:05 GMT","","","","fr-FR","1.1","","","","","","https://vintagefrenchart.com/produit/plaque-emaillee-ancienne-odo/","2026-02-26 17:43:08"
"https://vintagefrenchart.com/contact/","text/html; charset=UTF-8","200","OK","Indexable","","Contact | Vintage French Art, Brocanteur Castres (Tarn)","55","493","","0","0","Contactez Vintage French Art pour une estimation gratuite, un achat ou une question. Brocanteur et antiquaire dans le Tarn a Castres.","133","828","","0","","0","","0","Contactez-moi","13","","0","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","","https://vintagefrenchart.com/contact/","","","","","","285760","65822","65822","25,215","","421","85","4,953","55,315","Assez difficile","1,277","1","1","","291","123","0","100,000","43","24","0","7","6","0","","","","","98799d027151ac0810b2c88f604f0c52","0,262","Thu, 26 Feb 2026 13:46:58 GMT","","","","fr-FR","1.1","","","","","","https://vintagefrenchart.com/contact/","2026-02-26 17:43:09"
"https://vintagefrenchart.com/brocante-castres/","text/html; charset=UTF-8","200","OK","Indexable","","Brocante a Castres : Marches, Antiquaires & Foires | Guide Local","64","570","","0","0","Tout savoir sur la brocante a Castres : marches d'antiquites, foires, brocanteurs locaux et histoire du marche aux puces castrain. Guide complet.","145","886","","0","","0","","0","La brocante à Castres ( Tarn)","29","Le passé de la brocante à Castres (Occitanie, Tarn, 81)","55","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","","https://vintagefrenchart.com/brocante-castres/","","","","","","237920","61925","61925","23,722","","1700","238","7,143","75,123","Assez facile","4,763","1","1","","139","123","0","100,000","54","24","0","7","6","0","","","","","b46801c6c3230effd98773eb6414a216","0,256","Thu, 26 Feb 2026 13:48:04 GMT","","","","fr-FR","1.1","","","","","","https://vintagefrenchart.com/brocante-castres/","2026-02-26 17:43:09"
"https://vintagefrenchart.com/presentation/","text/html; charset=UTF-8","200","OK","Indexable","","Qui Sommes-Nous | Vintage French Art, Brocanteur dans le Tarn","61","571","","0","0","Vintage French Art : brocanteur et antiquaire passionne base dans le Tarn. Notre histoire, notre passion pour les objets vintage et anciens.","140","848","","0","","0","","0","Qui suis je","11","L’ART ET LA BROCANTE, UNE PASSION DEPUIS PLUS DE 36 ANS","55","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","","https://vintagefrenchart.com/presentation/","","","","","","343948","71158","71158","27,259","","887","140","6,336","54,953","Assez difficile","2,006","1","1","","252","123","0","100,000","43","24","0","7","6","0","","","","","40e097e3830ac3e4bba9594bcbf88511","0,114","Thu, 26 Feb 2026 13:46:51 GMT","","","","fr-FR","1.1","","","","","","https://vintagefrenchart.com/presentation/","2026-02-26 17:43:10"
"https://vintagefrenchart.com/conditions-generales-vente/","text/html; charset=UTF-8","200","OK","Non indexable","noindex","Conditions générales de vente | Vintage French Art | Brocante","61","547","","0","0","Conditions générales de vente de la brocante en ligne Castraise Vintage French Art","82","507","","0","","0","","0","Conditions générales de vente","29","","0","follow, noindex","","","","","","","","","","263727","70049","70049","26,834","","6205","790","7,854","68,779","Normal","15,347","1","1","","128","123","0","100,000","43","24","0","8","7","0","","","","","159bbaf59cfe865fb8734dffc5796b3a","0,125","Thu, 26 Feb 2026 13:47:04 GMT","","","","fr-FR","1.1","","","","","","https://vintagefrenchart.com/conditions-generales-vente/","2026-02-26 17:43:10"
"https://vintagefrenchart.com/categorie-produit/assises/","text/html; charset=UTF-8","200","OK","Indexable","","Chaise et fauteuil vintage  | Vintage French Art","48","410","","0","0","Votre brocante proche de Castres Vintage French Art, vous propose   tout ce qui est relatif aux assises. Les canapés, les banquettes, les tabourets, chaises et fauteuils  sont des pièces maîtresses de notre décoration intérieure, qui reflètent notre personnalité et notre sens de l’hospitalité. L’univers des assises est riche et varié…","336","1989","","0","","0","","0","Chaise et fauteuil vintage","26","Chaises scandinaves Fanett d’Ilmari Tapiovaara","46","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","","https://vintagefrenchart.com/categorie-produit/assises/","","","","","","276006","64226","64226","24,604","","391","74","5,284","62,996","Normal","1,243","1","2","","152","123","0","100,000","63","33","0","7","6","0","","","","","4dee413c4fa617317449f605e076d5c1","0,106","Thu, 26 Feb 2026 13:59:25 GMT","","","","fr-FR","1.1","","","","","","https://vintagefrenchart.com/categorie-produit/assises/","2026-02-26 17:43:10"
"https://vintagefrenchart.com/conditions-generales-utilisation/","text/html; charset=UTF-8","200","OK","Non indexable","noindex","Conditions générales d'utilisation | Vintage French Art","55","477","","0","0","Ici vous trouverez les conditions générales d'utilisation de Vintage French Art la brocante en ligne de Castres dans le Tarn (81) et toute la France.","149","886","","0","","0","","0","Conditions générales d’utilisation","34","","0","follow, noindex","","","","","","","","","","230888","61415","61415","23,527","","2184","293","7,454","57,611","Assez difficile","6,586","1","1","","128","123","0","100,000","43","24","0","7","6","0","","","","","1129d826c0d05dc3c78484d578f3a77f","0,111","Thu, 26 Feb 2026 13:47:00 GMT","","","","fr-FR","1.1","","","","","","https://vintagefrenchart.com/conditions-generales-utilisation/","2026-02-26 17:43:10"
"https://vintagefrenchart.com/cart/","text/html; charset=UTF-8","200","OK","Non indexable","noindex","Cart | Vintage French Art","25","220","","0","0","","0","0","","0","Cart","4","","0","","0","","0","follow, noindex","","","","","","","","","","214379","56371","56371","21,595","","262","49","5,347","48,676","Difficile","1,173","1","1","","372","123","0","100,000","39","24","0","7","6","0","","","","","e409cb09cd1f85ed1cfb901d7ada655","1,762","","","","","fr-FR","1.1","","","","","","https://vintagefrenchart.com/cart/","2026-02-26 17:43:09"
"https://www.vintagefrenchart.com/blog/","text/html; charset=iso-8859-1","301","Moved Permanently","Non indexable","Redirigé","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","282","282","282","0,108","","0","","","","","0,000","1","1","","1","1","0","0,810","0","0","0","0","0","0","","","","","","0,253","","https://vintagefrenchart.com/blog/","Redirection HTTP","","","1.1","","","","","","https://www.vintagefrenchart.com/blog/","2026-02-26 17:43:11"
"https://vintagefrenchart.com/categorie-produit/objets-dart-et-decoration/","text/html; charset=UTF-8","200","OK","Indexable","","Objets d'art et décoration  | Vintage French Art","48","407","","0","0","Objets d’Art et décoration Mon métier de brocanteur à Castres me permet de chiner (achat d’objets anciens) et revendre des objets d’art contemporain, des objets du XVIIe siècle,  XVIIIe siècle, XIXe siècle et XXe siècle. Je suis un passionné d’art dans sa globalité (tableaux, sculpture, statue, le design moderne …).…","318","1912","","0","","0","","0","Objets d'art et décoration","26","Flavio POLI : Bol en verre de Murano italien","44","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","","","https://vintagefrenchart.com/categorie-produit/objets-dart-et-decoration/","https://vintagefrenchart.com/categorie-produit/objets-dart-et-decoration/page/2/","","","","","363596","67864","67864","25,997","","688","129","5,333","74,891","Assez facile","1,391","1","2","","248","123","0","100,000","103","49","0","7","6","0","","","","","b15e363cf1e2ce1889f518f05d19865a","0,130","Thu, 26 Feb 2026 13:59:21 GMT","","","","fr-FR","1.1","","","","","","https://vintagefrenchart.com/categorie-produit/objets-dart-et-decoration/","2026-02-26 17:43:11"
